run_id,method,dataset,scene,execution,psnr,ssim,lpips,process_wall_s,native_train_s,fps,peak_device_mib,peak_torch_allocated_mib,gaussians,evidence_group,curve_export,paper_usage
primary/R1/wo_channel/playroom,wo_channel,db,playroom,R1,30.609601974487305,0.9046737551689148,0.267982542514801,122.0,110.89431963724692,775.3113088737332,7011.0,3459.30810546875,184147,primary,logs/train/primary/R1/wo_channel/playroom/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_temporal/bicycle,wo_temporal,mipnerf360,bicycle,R1,24.747663497924805,0.7125431895256042,0.3121987581253052,234.0,181.7512937991493,558.0569644548641,8344.0,5496.65673828125,537306,primary,logs/train/primary/R1/wo_temporal/bicycle/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_temporal/flowers,wo_temporal,mipnerf360,flowers,R1,21.18785285949707,0.5590657591819763,0.40661361813545227,233.0,183.09694312920942,552.6574828301372,8604.0,5000.14697265625,492070,primary,logs/train/primary/R1/wo_temporal/flowers/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_temporal/garden,wo_temporal,mipnerf360,garden,R1,26.988550186157227,0.8335331082344055,0.17581801116466522,296.0,238.8048996207352,479.92349852272696,8999.0,5421.87646484375,760018,primary,logs/train/primary/R1/wo_temporal/garden/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_temporal/stump,wo_temporal,mipnerf360,stump,R1,26.66583251953125,0.755566418170929,0.29875752329826355,198.0,160.8866200576081,612.3928584847203,6600.0,3844.35302734375,388375,primary,logs/train/primary/R1/wo_temporal/stump/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_temporal/treehill,wo_temporal,mipnerf360,treehill,R1,22.836557388305664,0.6094717979431152,0.43043839931488037,204.0,162.42142032305236,614.096842990791,7919.0,4185.77880859375,393878,primary,logs/train/primary/R1/wo_temporal/treehill/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_temporal/room,wo_temporal,mipnerf360,room,R1,31.66459083557129,0.9180140495300293,0.22010166943073273,192.0,153.13425142968177,683.3642067869313,10640.0,7277.72021484375,208661,primary,logs/train/primary/R1/wo_temporal/room/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_temporal/counter,wo_temporal,mipnerf360,counter,R1,29.0009822845459,0.9051482677459717,0.2060997486114502,207.0,175.41683030201548,583.0658009147572,10384.0,5898.77001953125,208468,primary,logs/train/primary/R1/wo_temporal/counter/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_temporal/kitchen,wo_temporal,mipnerf360,kitchen,R1,31.692941665649414,0.9275437593460083,0.12846256792545319,272.0,234.47936542588405,479.0199737841038,12154.0,7106.5634765625,380341,primary,logs/train/primary/R1/wo_temporal/kitchen/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_temporal/bonsai,wo_temporal,mipnerf360,bonsai,R1,31.99609375,0.9403666853904724,0.19259199500083923,216.0,178.74719457737436,611.8294378895426,9985.0,7007.3984375,278732,primary,logs/train/primary/R1/wo_temporal/bonsai/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_temporal/truck,wo_temporal,tnt,truck,R1,25.595985412597656,0.8706728219985962,0.18280816078186035,122.0,111.79730357173312,718.3484594991472,5303.0,2308.90625,253533,primary,logs/train/primary/R1/wo_temporal/truck/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_temporal/train,wo_temporal,tnt,train,R1,22.29001808166504,0.8004892468452454,0.2480226755142212,125.0,114.97976451780782,626.8651832378365,5813.0,2674.1611328125,223532,primary,logs/train/primary/R1/wo_temporal/train/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_temporal/drjohnson,wo_temporal,db,drjohnson,R1,29.51645851135254,0.8971717953681946,0.27848902344703674,134.0,121.72280735699577,717.1657817140447,7964.0,4801.06494140625,245462,primary,logs/train/primary/R1/wo_temporal/drjohnson/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_temporal/playroom,wo_temporal,db,playroom,R1,30.31002426147461,0.9029318690299988,0.26652422547340393,120.0,109.37764296124867,767.3703098158138,6855.0,3491.9990234375,198126,primary,logs/train/primary/R1/wo_temporal/playroom/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_densification_aware/bicycle,wo_densification_aware,mipnerf360,bicycle,R1,24.700605392456055,0.7088726162910461,0.3158935606479645,229.0,176.73867300953768,566.3061004757815,8437.0,5496.67822265625,537067,primary,logs/train/primary/R1/wo_densification_aware/bicycle/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_densification_aware/flowers,wo_densification_aware,mipnerf360,flowers,R1,21.177934646606445,0.5580276846885681,0.407481849193573,230.0,179.94181066040667,570.6907997532983,8617.0,5022.01806640625,498447,primary,logs/train/primary/R1/wo_densification_aware/flowers/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_densification_aware/garden,wo_densification_aware,mipnerf360,garden,R1,27.114091873168945,0.8333671689033508,0.17741042375564575,296.0,239.16331296983378,477.18342174647853,8939.0,5455.0029296875,773614,primary,logs/train/primary/R1/wo_densification_aware/garden/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_densification_aware/stump,wo_densification_aware,mipnerf360,stump,R1,26.661144256591797,0.7556397318840027,0.2978648543357849,194.0,157.0290310674841,593.827977926793,6847.0,3844.43798828125,394760,primary,logs/train/primary/R1/wo_densification_aware/stump/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_densification_aware/treehill,wo_densification_aware,mipnerf360,treehill,R1,22.84681510925293,0.6088700890541077,0.4331497848033905,204.0,162.2915923984924,600.434681547412,7137.0,4186.71435546875,399479,primary,logs/train/primary/R1/wo_densification_aware/treehill/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_densification_aware/room,wo_densification_aware,mipnerf360,room,R1,31.791011810302734,0.9170187711715698,0.22076056897640228,192.0,153.77649987580466,666.0127313271653,10681.0,7279.44970703125,211677,primary,logs/train/primary/R1/wo_densification_aware/room/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_densification_aware/counter,wo_densification_aware,mipnerf360,counter,R1,28.932422637939453,0.9042491316795349,0.207414910197258,209.0,176.19714655223805,585.9998819702386,10959.0,5903.6279296875,209875,primary,logs/train/primary/R1/wo_densification_aware/counter/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_densification_aware/kitchen,wo_densification_aware,mipnerf360,kitchen,R1,31.65020179748535,0.9272149205207825,0.1288033276796341,271.0,234.38457696220823,481.13299167591987,12965.0,7122.9501953125,382351,primary,logs/train/primary/R1/wo_densification_aware/kitchen/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_densification_aware/bonsai,wo_densification_aware,mipnerf360,bonsai,R1,31.873214721679688,0.9394038319587708,0.19375120103359222,208.0,171.35849510840757,625.50310271034,11378.0,7023.78564453125,281787,primary,logs/train/primary/R1/wo_densification_aware/bonsai/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_densification_aware/truck,wo_densification_aware,tnt,truck,R1,25.56163787841797,0.8700581789016724,0.18331733345985413,117.0,107.72274772936707,718.3197536859029,5370.0,2323.35498046875,256279,primary,logs/train/primary/R1/wo_densification_aware/truck/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_densification_aware/train,wo_densification_aware,tnt,train,R1,22.232507705688477,0.7997117042541504,0.2505718171596527,123.0,112.69252454249693,647.5343205313538,5956.0,2672.6650390625,219157,primary,logs/train/primary/R1/wo_densification_aware/train/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_densification_aware/drjohnson,wo_densification_aware,db,drjohnson,R1,29.517187118530273,0.8960161805152893,0.2808619737625122,127.0,115.39827767951236,741.1479500858686,7862.0,4752.63525390625,239812,primary,logs/train/primary/R1/wo_densification_aware/drjohnson/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_densification_aware/playroom,wo_densification_aware,db,playroom,R1,30.68094253540039,0.9055514931678772,0.2671433687210083,118.0,107.11338546522524,771.9300430816754,6826.0,3541.12451171875,205861,primary,logs/train/primary/R1/wo_densification_aware/playroom/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_ipw/bicycle,wo_ipw,mipnerf360,bicycle,R1,24.215099334716797,0.6412129998207092,0.3903054893016815,190.0,138.528197216744,710.1926487142857,7842.0,4911.9033203125,244368,primary,logs/train/primary/R1/wo_ipw/bicycle/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_ipw/flowers,wo_ipw,mipnerf360,flowers,R1,20.436933517456055,0.4842551350593567,0.48199936747550964,184.0,135.01827538811418,747.4537802666545,7733.0,4387.56103515625,202214,primary,logs/train/primary/R1/wo_ipw/flowers/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_ipw/garden,wo_ipw,mipnerf360,garden,R1,26.812978744506836,0.8040432333946228,0.2251880168914795,259.0,203.2064666175312,546.8044978819488,8924.0,4919.49560546875,485573,primary,logs/train/primary/R1/wo_ipw/garden/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_ipw/stump,wo_ipw,mipnerf360,stump,R1,25.747350692749023,0.693170964717865,0.3770517110824585,162.0,125.62039051893355,757.3065121894219,6292.0,3356.48291015625,166035,primary,logs/train/primary/R1/wo_ipw/stump/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
