group,id,method,repetition,dataset,scene,psnr,ssim,lpips,wall_time_s
primary,primary/R1/wo_ipw/kitchen,wo_ipw,R1,mipnerf360,kitchen,31.440317153930664,0.921771228313446,0.13883528113365173,264.0
primary,primary/R1/wo_ipw/bonsai,wo_ipw,R1,mipnerf360,bonsai,31.73663902282715,0.9343034625053406,0.20737645030021667,204.0
primary,primary/R1/wo_ipw/truck,wo_ipw,R1,tnt,truck,25.317813873291016,0.8579179644584656,0.19920621812343597,111.0
primary,primary/R1/wo_ipw/train,wo_ipw,R1,tnt,train,22.015905380249023,0.7750754356384277,0.27703961730003357,118.0
primary,primary/R1/wo_ipw/drjohnson,wo_ipw,R1,db,drjohnson,29.133071899414062,0.8904348015785217,0.29303109645843506,123.0
primary,primary/R1/wo_ipw/playroom,wo_ipw,R1,db,playroom,30.02435302734375,0.8950743079185486,0.2867943346500397,108.0
primary,primary/R1/budget_matched_fullrgb/bicycle,budget_matched_fullrgb,R1,mipnerf360,bicycle,24.137117385864258,0.6354261636734009,0.3957848846912384,189.0
primary,primary/R1/budget_matched_fullrgb/flowers,budget_matched_fullrgb,R1,mipnerf360,flowers,20.389463424682617,0.4812891185283661,0.4860050082206726,182.0
primary,primary/R1/budget_matched_fullrgb/garden,budget_matched_fullrgb,R1,mipnerf360,garden,26.731473922729492,0.8009335994720459,0.22904546558856964,255.0
primary,primary/R1/budget_matched_fullrgb/stump,budget_matched_fullrgb,R1,mipnerf360,stump,25.706329345703125,0.6899516582489014,0.38024240732192993,155.0
primary,primary/R1/budget_matched_fullrgb/treehill,budget_matched_fullrgb,R1,mipnerf360,treehill,22.61376953125,0.567751944065094,0.4878441095352173,171.0
primary,primary/R1/budget_matched_fullrgb/room,budget_matched_fullrgb,R1,mipnerf360,room,31.56733512878418,0.909507155418396,0.23870143294334412,179.0
primary,primary/R1/budget_matched_fullrgb/counter,budget_matched_fullrgb,R1,mipnerf360,counter,28.791645050048828,0.8966355919837952,0.2215108573436737,195.0
primary,primary/R1/budget_matched_fullrgb/kitchen,budget_matched_fullrgb,R1,mipnerf360,kitchen,31.382328033447266,0.9205143451690674,0.14175337553024292,255.0
primary,primary/R1/budget_matched_fullrgb/bonsai,budget_matched_fullrgb,R1,mipnerf360,bonsai,31.681310653686523,0.9335657954216003,0.20980045199394226,198.0
primary,primary/R1/budget_matched_fullrgb/truck,budget_matched_fullrgb,R1,tnt,truck,25.291948318481445,0.8571667075157166,0.2022494673728943,109.0
primary,primary/R1/budget_matched_fullrgb/train,budget_matched_fullrgb,R1,tnt,train,22.01142120361328,0.7721063494682312,0.28237542510032654,114.0
primary,primary/R1/budget_matched_fullrgb/drjohnson,budget_matched_fullrgb,R1,db,drjohnson,29.23142433166504,0.8901245594024658,0.2972557842731476,118.0
primary,primary/R1/budget_matched_fullrgb/playroom,budget_matched_fullrgb,R1,db,playroom,29.833202362060547,0.8948410153388977,0.29139840602874756,104.0
primary,primary/R2/fastgs_base/bicycle,fastgs_base,R2,mipnerf360,bicycle,24.833280563354492,0.714408278465271,0.31018996238708496,263.0
primary,primary/R2/fastgs_base/flowers,fastgs_base,R2,mipnerf360,flowers,21.219924926757812,0.560617983341217,0.4060620367527008,266.0
primary,primary/R2/fastgs_base/garden,fastgs_base,R2,mipnerf360,garden,27.08207893371582,0.8349230885505676,0.1744508296251297,326.0
primary,primary/R2/fastgs_base/stump,fastgs_base,R2,mipnerf360,stump,26.648632049560547,0.755814254283905,0.2967458963394165,216.0
primary,primary/R2/fastgs_base/treehill,fastgs_base,R2,mipnerf360,treehill,22.867855072021484,0.6123090386390686,0.426491379737854,229.0
primary,primary/R2/fastgs_base/room,fastgs_base,R2,mipnerf360,room,31.939571380615234,0.9196205139160156,0.2169087529182434,217.0
primary,primary/R2/fastgs_base/counter,fastgs_base,R2,mipnerf360,counter,29.1614990234375,0.906887412071228,0.20341195166110992,239.0
primary,primary/R2/fastgs_base/kitchen,fastgs_base,R2,mipnerf360,kitchen,31.792308807373047,0.9286131858825684,0.12649671733379364,315.0
primary,primary/R2/fastgs_base/bonsai,fastgs_base,R2,mipnerf360,bonsai,32.21897888183594,0.942081868648529,0.19067418575286865,245.0
primary,primary/R2/fastgs_base/truck,fastgs_base,R2,tnt,truck,25.693683624267578,0.8724155426025391,0.17843753099441528,140.0
primary,primary/R2/fastgs_base/train,fastgs_base,R2,tnt,train,22.48326873779297,0.8056482672691345,0.2411845177412033,142.0
primary,primary/R2/fastgs_base/drjohnson,fastgs_base,R2,db,drjohnson,29.511699676513672,0.897752046585083,0.27439597249031067,154.0
primary,primary/R2/fastgs_base/playroom,fastgs_base,R2,db,playroom,30.561967849731445,0.9057368040084839,0.2640685737133026,139.0
primary,primary/R2/skipgs_base/bicycle,skipgs_base,R2,mipnerf360,bicycle,24.78437042236328,0.7134085297584534,0.31136757135391235,244.0
primary,primary/R2/skipgs_base/flowers,skipgs_base,R2,mipnerf360,flowers,21.19542694091797,0.5582242012023926,0.4082973301410675,240.0
primary,primary/R2/skipgs_base/garden,skipgs_base,R2,mipnerf360,garden,27.0848445892334,0.8345165252685547,0.176322340965271,299.0
primary,primary/R2/skipgs_base/stump,skipgs_base,R2,mipnerf360,stump,26.69810676574707,0.7554296255111694,0.29823294281959534,201.0
primary,primary/R2/skipgs_base/treehill,skipgs_base,R2,mipnerf360,treehill,22.80047607421875,0.6100899577140808,0.43079084157943726,210.0
primary,primary/R2/skipgs_base/room,skipgs_base,R2,mipnerf360,room,31.811777114868164,0.9194791913032532,0.2186633199453354,200.0
primary,primary/R2/skipgs_base/counter,skipgs_base,R2,mipnerf360,counter,29.061376571655273,0.9058400392532349,0.2055552452802658,214.0
primary,primary/R2/skipgs_base/kitchen,skipgs_base,R2,mipnerf360,kitchen,31.77630043029785,0.9278008341789246,0.12784811854362488,278.0
primary,primary/R2/skipgs_base/bonsai,skipgs_base,R2,mipnerf360,bonsai,32.046321868896484,0.9411594271659851,0.19230294227600098,219.0
primary,primary/R2/skipgs_base/truck,skipgs_base,R2,tnt,truck,25.685550689697266,0.8713099360466003,0.18037313222885132,120.0
primary,primary/R2/skipgs_base/train,skipgs_base,R2,tnt,train,22.223180770874023,0.801776647567749,0.24501250684261322,129.0
primary,primary/R2/skipgs_base/drjohnson,skipgs_base,R2,db,drjohnson,29.426589965820312,0.8966385126113892,0.2778579890727997,136.0
primary,primary/R2/skipgs_base/playroom,skipgs_base,R2,db,playroom,30.655046463012695,0.9058750867843628,0.26656249165534973,121.0
primary,primary/R2/full/bicycle,full,R2,mipnerf360,bicycle,24.73480987548828,0.7116960883140564,0.31319212913513184,226.0
primary,primary/R2/full/flowers,full,R2,mipnerf360,flowers,21.181150436401367,0.5585457682609558,0.4066695272922516,226.0
primary,primary/R2/full/garden,full,R2,mipnerf360,garden,27.113725662231445,0.8337813019752502,0.17656157910823822,288.0
