group,method,dataset,executions,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,wall_time_sum_s_mean,wall_time_sum_s_std
primary,wo_ipw,mipnerf360,3,27.05273946126302,0.019854855605868093,0.7618868119186826,0.00014674272956696614,0.3067676176627477,7.933916025888213e-05,1803.0,18.0
primary,wo_ipw,tnt,3,23.712024688720703,0.05935117781314601,0.8166269858678182,0.00015934631070345964,0.23852120588223139,0.0003970952929358884,225.0,3.605551275463989
primary,wo_temporal,all13,3,27.241631776858597,0.03811052796768137,0.8177645435700049,0.00013275151662927177,0.257426190834779,3.894768498624783e-05,2542.0,19.05255888325765
primary,wo_temporal,db,3,29.69490909576416,0.21711297623504447,0.8989871641000112,0.0009479856187337238,0.27315400044123334,0.0008963025785927096,252.33333333333334,2.0816659994661326
primary,wo_temporal,mipnerf360,3,27.4292049407959,0.015945943391298897,0.7957491079966227,0.00011666272387291005,0.2633741933990408,7.375003034238872e-05,2044.0,14.730919862656235
primary,wo_temporal,tnt,3,23.944275220235188,0.02606723241848898,0.8356113831202189,0.000267206961619931,0.21493236968914667,0.0005713167994152961,245.66666666666666,2.309401076758503
sensitivity,factorgrad_fastgs,all13,1,27.30935111412635,,0.8186211173350995,,0.25573596587547887,,2805.0,
sensitivity,factorgrad_fastgs,db,1,29.67244815826416,,0.8975980579853058,,0.27118782699108124,,280.0,
sensitivity,factorgrad_fastgs,mipnerf360,1,27.489338556925457,,0.7967516978581747,,0.261969366007381,,2252.0,
sensitivity,factorgrad_fastgs,tnt,1,24.136310577392578,,0.8380565643310547,,0.21223380416631699,,273.0,
sensitivity,late,all13,1,27.3169128711407,,0.8179924029570359,,0.2581132661837798,,2611.0,
sensitivity,late,db,1,30.0968074798584,,0.9014244377613068,,0.2726578116416931,,258.0,
sensitivity,late,mipnerf360,1,27.445706685384113,,0.7953262527783712,,0.2645748489432865,,2100.0,
sensitivity,late,tnt,1,23.957446098327637,,0.8365580439567566,,0.2144915983080864,,253.0,
sensitivity,q05,all13,1,27.261206553532528,,0.8170428597010099,,0.258672487277251,,2555.0,
sensitivity,q05,db,1,29.94829273223877,,0.8996474146842957,,0.2733462452888489,,251.0,
sensitivity,q05,mipnerf360,1,27.409024132622612,,0.7949094573656718,,0.264621376991272,,2057.0,
sensitivity,q05,tnt,1,23.9089412689209,,0.8340386152267456,,0.2172287255525589,,247.0,
sensitivity,q08,all13,1,27.24959637568547,,0.817421555519104,,0.2578480071746386,,2567.0,
sensitivity,q08,db,1,29.775229454040527,,0.8992035090923309,,0.2723160833120346,,254.0,
sensitivity,q08,mipnerf360,1,27.422712961832683,,0.7953897251023186,,0.2639406638012992,,2063.0,
sensitivity,q08,tnt,1,23.94493865966797,,0.8347828388214111,,0.2159629762172699,,250.0,
sensitivity,stabilization0,all13,1,27.29675733126127,,0.817674980713771,,0.257706072468024,,2578.0,
sensitivity,stabilization0,db,1,29.9324312210083,,0.89963299036026,,0.27246324717998505,,255.0,
sensitivity,stabilization0,mipnerf360,1,27.432646221584744,,0.7954109907150269,,0.26375289426909554,,2072.0,
